OBJECTID,LOCATION,NAME,PUMPTYPE,CAPACITY,RES_TYPE,WARDNO,State,U_ID,District,City_Name,Cost_Value
"1","MVP COLONY,SEC-6","MVP COLONY,SEC-6",GRAVITY,"1000",GLSR,"6",Andhra Pradesh,"1",Vishakhapattanam,Vishakhapattanam,90000.00000000000
"2","MVP COLONY,SEC-9","MVP COLONY,SEC-9",GRAVITY,"500",GLSR,"6",Andhra Pradesh,"2",Vishakhapattanam,Vishakhapattanam,45000.00000000000
"3","DOCTORS COLONY,PEDA WALTAIR","DOCTORS COLONY,PEDA WALTAIR",BOTH,"2000",GLSR,"16",Andhra Pradesh,"3",Vishakhapattanam,Vishakhapattanam,180000.00000000000
"4","MVP COLONY,SEC-6","MVP COLONY,SEC-6",PUMPING,"200",GLSR,"6",Andhra Pradesh,"4",Vishakhapattanam,Vishakhapattanam,18000.00000000000
"5",SIMHADRIPURAM,SIMHADRIPURAM,GRAVITY,"200",GLSR,"9",Andhra Pradesh,"5",Vishakhapattanam,Vishakhapattanam,18000.00000000000
"6",A.S.R NAGAR,A.S.R NAGAR,GRAVITY,"500",GLSR,"9",Andhra Pradesh,"6",Vishakhapattanam,Vishakhapattanam,45000.00000000000
"7",H.B.COLONY,DURGANAGAR RESERVOIR,PUMPING,"25",GLSR,"9",Andhra Pradesh,"7",Vishakhapattanam,Vishakhapattanam,2250.00000000000
"8",H.B. COLONY,BLOCK-8 RESRVOIR,GRAVITY,"500",GLSR,"9",Andhra Pradesh,"8",Vishakhapattanam,Vishakhapattanam,45000.00000000000
"9",NEW VENKOJIPALEM,NEW VENKOJIPALEM RESERVOIR,,"500",GLSR,"9",Andhra Pradesh,"9",Vishakhapattanam,Vishakhapattanam,45000.00000000000
"10",NEW VENKOJIPALEM,NEW VENKOJIPALEM RESERVOIR,PUMPING,"125",GLSR,"9",Andhra Pradesh,"10",Vishakhapattanam,Vishakhapattanam,11250.00000000000
"11",SEETAMMADHARA,OLD BLOCK-6 RESERVOIR,GRAVITY,"1670",GLSR,"11",Andhra Pradesh,"11",Vishakhapattanam,Vishakhapattanam,150300.00000000000
"12",SEETAMMADHARA,NEW BLOCK-9 RESERVOIR,GRAVITY,"800",GLSR,"11",Andhra Pradesh,"12",Vishakhapattanam,Vishakhapattanam,72000.00000000000
"13",SEETAMMADHARA,SEETAMMADHARA PUMPING STATION,PUMPING,"250",,"11",Andhra Pradesh,"13",Vishakhapattanam,Vishakhapattanam,22500.00000000000
"14",SEETAMMADHARA,SEETAMMADHARA PUMPING STATION,PUMPING,"75",,"11",Andhra Pradesh,"14",Vishakhapattanam,Vishakhapattanam,6750.00000000000
"15",GURUDWARA JENCTION,OLD BLOCK RESERVOIR GURUDWARA JN,GRAVITY,"670",GLSR,"11",Andhra Pradesh,"15",Vishakhapattanam,Vishakhapattanam,60300.00000000000
"16",GREEN PARK COLONY,BLOCK-10 RESERVOIR,,"1800",GLSR,"11",Andhra Pradesh,"16",Vishakhapattanam,Vishakhapattanam,162000.00000000000
"17",,NEW CONSTRECTION SUMP AT BOOSTER PUMP HOUSE,PUMPING,"200",,"12",Andhra Pradesh,"17",Vishakhapattanam,Vishakhapattanam,18000.00000000000
"18",SEETAMMAPETA,SEETAMMAPETA WIPRO SITE SUMP,PUMPING,"500",GLSR,"14",Andhra Pradesh,"18",Vishakhapattanam,Vishakhapattanam,45000.00000000000
